model,block_type,layer,prompt,dim,bf16_mean_abs,bf16_max_abs,bf16_l2,rank_by_mean_abs,hidden_dim_total,percentile_by_mean_abs
Llama-3.2-1B-Instruct,attn,1,Prompt_01,146,0.28647133708000183,0.58203125,5.475040912628174,2,2048,99.951171875
Llama-3.2-1B-Instruct,attn,1,Prompt_01,2023,0.36910533905029297,0.6484375,6.7820515632629395,1,2048,100.0
Llama-3.2-1B-Instruct,attn,1,Prompt_02,146,0.27576062083244324,0.57421875,5.537771701812744,2,2048,99.951171875
Llama-3.2-1B-Instruct,attn,1,Prompt_02,2023,0.36487701535224915,0.6015625,7.019625186920166,1,2048,100.0
Llama-3.2-1B-Instruct,attn,1,Prompt_03,146,0.29563820362091064,0.55859375,5.3430938720703125,2,2048,99.951171875
Llama-3.2-1B-Instruct,attn,1,Prompt_03,2023,0.3646411895751953,0.54296875,6.27410364151001,1,2048,100.0
Llama-3.2-1B-Instruct,attn,1,Prompt_04,146,0.31054139137268066,0.5625,7.590993881225586,2,2048,99.951171875
Llama-3.2-1B-Instruct,attn,1,Prompt_04,2023,0.3662797212600708,0.56640625,8.623498916625977,1,2048,100.0
Llama-3.2-1B-Instruct,mlp,1,Prompt_01,400,1.337058424949646,412.0,412.0000305175781,1,2048,100.0
Llama-3.2-1B-Instruct,mlp,1,Prompt_01,698,1.3038417100906372,400.0,400.00006103515625,2,2048,99.951171875
Llama-3.2-1B-Instruct,mlp,1,Prompt_01,1159,1.213010311126709,370.0,370.00018310546875,4,2048,99.853515625
Llama-3.2-1B-Instruct,mlp,1,Prompt_01,2029,1.2857645750045776,396.0,396.0000305175781,3,2048,99.90234375
Llama-3.2-1B-Instruct,mlp,1,Prompt_02,400,1.262377142906189,412.0,412.0001525878906,1,2048,100.0
Llama-3.2-1B-Instruct,mlp,1,Prompt_02,698,1.2310888767242432,400.0,400.00030517578125,2,2048,99.951171875
Llama-3.2-1B-Instruct,mlp,1,Prompt_02,1159,1.1368567943572998,370.0,370.00030517578125,4,2048,99.853515625
Llama-3.2-1B-Instruct,mlp,1,Prompt_02,2029,1.2158079147338867,396.0,396.00018310546875,3,2048,99.90234375
Llama-3.2-1B-Instruct,mlp,1,Prompt_03,400,1.5055006742477417,412.0,412.00006103515625,1,2048,100.0
Llama-3.2-1B-Instruct,mlp,1,Prompt_03,698,1.468245029449463,400.0,400.0001220703125,2,2048,99.951171875
Llama-3.2-1B-Instruct,mlp,1,Prompt_03,1159,1.3598061800003052,370.0,370.00018310546875,4,2048,99.853515625
Llama-3.2-1B-Instruct,mlp,1,Prompt_03,2029,1.4544686079025269,396.0,396.0001525878906,3,2048,99.90234375
Llama-3.2-1B-Instruct,mlp,1,Prompt_04,400,0.8450008034706116,414.0,414.00048828125,1,2048,100.0
Llama-3.2-1B-Instruct,mlp,1,Prompt_04,698,0.82157963514328,400.0,400.0004577636719,2,2048,99.951171875
Llama-3.2-1B-Instruct,mlp,1,Prompt_04,1159,0.7622085809707642,370.0,370.00030517578125,4,2048,99.853515625
Llama-3.2-1B-Instruct,mlp,1,Prompt_04,2029,0.8200692534446716,398.0,398.00048828125,3,2048,99.90234375
Qwen2.5-1.5B-Instruct,attn,1,Prompt_01,1421,0.8439061045646667,2.09375,16.399568557739258,9,1536,99.47916666666666
Qwen2.5-1.5B-Instruct,attn,1,Prompt_02,1421,0.45914286375045776,1.75,9.637054443359375,19,1536,98.828125
Qwen2.5-1.5B-Instruct,attn,1,Prompt_03,1421,0.5271172523498535,1.640625,8.557994842529297,17,1536,98.95833333333334
Qwen2.5-1.5B-Instruct,attn,1,Prompt_04,1421,0.3653448522090912,1.75,7.078222751617432,25,1536,98.4375
Qwen2.5-1.5B-Instruct,mlp,1,Prompt_01,408,9.885727882385254,2912.0,2912.00390625,1,1536,100.0
Qwen2.5-1.5B-Instruct,mlp,1,Prompt_01,520,7.9875335693359375,2336.0,2336.0078125,2,1536,99.93489583333334
Qwen2.5-1.5B-Instruct,mlp,1,Prompt_02,408,10.65415096282959,2928.0,2928.004638671875,1,1536,100.0
Qwen2.5-1.5B-Instruct,mlp,1,Prompt_02,520,8.582680702209473,2352.0,2352.00830078125,2,1536,99.93489583333334
Qwen2.5-1.5B-Instruct,mlp,1,Prompt_03,408,16.882545471191406,2928.0,2928.003173828125,1,1536,100.0
Qwen2.5-1.5B-Instruct,mlp,1,Prompt_03,520,13.596122741699219,2352.0,2352.005615234375,2,1536,99.93489583333334
Qwen2.5-1.5B-Instruct,mlp,1,Prompt_04,408,15.58325481414795,2928.0,2928.003173828125,1,1536,100.0
Qwen2.5-1.5B-Instruct,mlp,1,Prompt_04,520,12.575804710388184,2352.0,2352.006103515625,2,1536,99.93489583333334
