target_layer,model,block_type,layer,dim,topk_frequency,topk_frequency_out_of,appeared_in
1,Llama-3.2-1B-Instruct,attn,1,146,16,16,"GPTQ_8bit/Prompt_01,GPTQ_8bit/Prompt_02,GPTQ_8bit/Prompt_03,GPTQ_8bit/Prompt_04,GPTQ_4bit/Prompt_01,GPTQ_4bit/Prompt_02,GPTQ_4bit/Prompt_03,GPTQ_4bit/Prompt_04,GPTQ_3bit/Prompt_01,GPTQ_3bit/Prompt_02,GPTQ_3bit/Prompt_03,GPTQ_3bit/Prompt_04,GPTQ_2bit/Prompt_01,GPTQ_2bit/Prompt_02,GPTQ_2bit/Prompt_03,GPTQ_2bit/Prompt_04"
1,Llama-3.2-1B-Instruct,attn,1,2023,16,16,"GPTQ_8bit/Prompt_01,GPTQ_8bit/Prompt_02,GPTQ_8bit/Prompt_03,GPTQ_8bit/Prompt_04,GPTQ_4bit/Prompt_01,GPTQ_4bit/Prompt_02,GPTQ_4bit/Prompt_03,GPTQ_4bit/Prompt_04,GPTQ_3bit/Prompt_01,GPTQ_3bit/Prompt_02,GPTQ_3bit/Prompt_03,GPTQ_3bit/Prompt_04,GPTQ_2bit/Prompt_01,GPTQ_2bit/Prompt_02,GPTQ_2bit/Prompt_03,GPTQ_2bit/Prompt_04"
1,Llama-3.2-1B-Instruct,attn,1,1703,13,16,"GPTQ_8bit/Prompt_01,GPTQ_8bit/Prompt_02,GPTQ_8bit/Prompt_03,GPTQ_8bit/Prompt_04,GPTQ_4bit/Prompt_01,GPTQ_4bit/Prompt_02,GPTQ_3bit/Prompt_01,GPTQ_3bit/Prompt_02,GPTQ_3bit/Prompt_03,GPTQ_3bit/Prompt_04,GPTQ_2bit/Prompt_02,GPTQ_2bit/Prompt_03,GPTQ_2bit/Prompt_04"
1,Llama-3.2-1B-Instruct,attn,1,1131,8,16,"GPTQ_4bit/Prompt_03,GPTQ_4bit/Prompt_04,GPTQ_3bit/Prompt_01,GPTQ_3bit/Prompt_02,GPTQ_2bit/Prompt_01,GPTQ_2bit/Prompt_02,GPTQ_2bit/Prompt_03,GPTQ_2bit/Prompt_04"
1,Llama-3.2-1B-Instruct,attn,1,259,5,16,"GPTQ_4bit/Prompt_01,GPTQ_4bit/Prompt_03,GPTQ_4bit/Prompt_04,GPTQ_3bit/Prompt_03,GPTQ_3bit/Prompt_04"
1,Llama-3.2-1B-Instruct,attn,1,788,5,16,"GPTQ_3bit/Prompt_01,GPTQ_3bit/Prompt_02,GPTQ_2bit/Prompt_01,GPTQ_2bit/Prompt_02,GPTQ_2bit/Prompt_04"
1,Llama-3.2-1B-Instruct,attn,1,1634,5,16,"GPTQ_8bit/Prompt_01,GPTQ_8bit/Prompt_02,GPTQ_4bit/Prompt_02,GPTQ_4bit/Prompt_03,GPTQ_3bit/Prompt_04"
1,Llama-3.2-1B-Instruct,attn,1,1107,3,16,"GPTQ_4bit/Prompt_01,GPTQ_4bit/Prompt_02,GPTQ_4bit/Prompt_04"
1,Llama-3.2-1B-Instruct,attn,1,1083,2,16,"GPTQ_2bit/Prompt_01,GPTQ_2bit/Prompt_03"
1,Llama-3.2-1B-Instruct,attn,1,422,1,16,GPTQ_3bit/Prompt_03
1,Llama-3.2-1B-Instruct,attn,1,509,1,16,GPTQ_8bit/Prompt_01
1,Llama-3.2-1B-Instruct,attn,1,856,1,16,GPTQ_8bit/Prompt_03
1,Llama-3.2-1B-Instruct,attn,1,923,1,16,GPTQ_8bit/Prompt_04
1,Llama-3.2-1B-Instruct,attn,1,1504,1,16,GPTQ_8bit/Prompt_04
1,Llama-3.2-1B-Instruct,attn,1,1767,1,16,GPTQ_8bit/Prompt_02
1,Llama-3.2-1B-Instruct,attn,1,1910,1,16,GPTQ_8bit/Prompt_03
1,Llama-3.2-1B-Instruct,mlp,1,400,16,16,"GPTQ_8bit/Prompt_01,GPTQ_8bit/Prompt_02,GPTQ_8bit/Prompt_03,GPTQ_8bit/Prompt_04,GPTQ_4bit/Prompt_01,GPTQ_4bit/Prompt_02,GPTQ_4bit/Prompt_03,GPTQ_4bit/Prompt_04,GPTQ_3bit/Prompt_01,GPTQ_3bit/Prompt_02,GPTQ_3bit/Prompt_03,GPTQ_3bit/Prompt_04,GPTQ_2bit/Prompt_01,GPTQ_2bit/Prompt_02,GPTQ_2bit/Prompt_03,GPTQ_2bit/Prompt_04"
